Hour,Bandwidth_Mbps,Gradient_Mbps_per_hour,Second_Derivative,RK4_Prediction_Next_Day
0,0.334397,0,0,0.781798
1,0.301694,0.0124255,0.090257,0.1
2,0.359248,0.263805,0.412502,0.1
3,0.829304,0.143494,-0.653123,0.1
4,0.646237,-0.206133,-0.046131,0.251675
5,0.417039,0.379402,1.2172,0.69606
6,1.40504,0.540481,-0.895041,1.39371
7,1.498,0.397315,0.60871,2.2882
8,2.19967,0.487305,-0.42873,3.30994
9,2.47261,0.123585,-0.29871,4.38094
10,2.44684,-0.0933,-0.13506,5.42009
11,2.28601,-0.28744,-0.25322,6.34868
12,1.87196,-0.302395,0.22331,7.09578
13,1.68122,0.28415,0.94978,7.60307
14,2.44026,0.36593,-0.78622,7.82876
15,2.41308,-0.17887,-0.30338,7.75049
16,2.08252,-0.3988,-0.13648,7.36679
17,1.61548,-0.21229,0.5095,6.69725
18,1.65794,-0.00158,-0.08808,5.78109
19,1.61232,-0.0753,-0.05936,4.67455
20,1.50734,0.090445,0.39085,3.44703
21,1.79321,-0.25185,-1.07544,2.17633
22,1.00364,-0.505706,0.567728,0.943394
23,0.781798,0,0,0.1
